,State,District,Latitude,Longitude,District name,Population,Male,Female,Literate,Households_with_Internet,Literacy rate,sex ratio
476,Uttar Pradesh,Mathura,27.59390432801821,77.62153416856502,Mathura,2547184,1367125,1180059,1507746,8726,59.19266138606398,863.1683276949803
477,Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,Mau,2205968,1114709,1091259,1363044,2656,61.788928941852284,978.9631195226737
478,Uttar Pradesh,Meerut,29.02957625698323,77.80611005586593,Meerut,3443689,1825743,1617946,2141488,23717,62.18587102377712,886.1849668874535
479,Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,Mirzapur,2496970,1312302,1184668,1428683,4447,57.216666599919094,902.7403753099516
480,Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423597,Moradabad,4772006,2503186,2268820,2263848,11690,47.44017505426439,906.3729183528511
481,Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423,Muzaffarnagar,4143512,2193434,1950078,2417339,10077,58.34034027173084,889.0525085322831
482,Uttar Pradesh,Pilibhit,28.52024175035868,79.90103974175037,Pilibhit,2031007,1072002,959005,1061095,2870,52.24477315932441,894.5925474019638
483,Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,Pratapgarh,867848,437744,430104,401515,716,46.26559028770015,982.5468767133302
484,Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,Pratapgarh,3209141,1606085,1603056,1931559,5149,60.18928429757371,998.1140475130519
485,Uttar Pradesh,Rae Bareli,26.253902840059787,81.22260463378181,Rae Bareli,3405559,1752542,1653017,1965843,5184,57.72453215463306,943.2110614182142
486,Uttar Pradesh,Rampur,28.83244727272725,79.10977333333337,Rampur,2335819,1223889,1111930,1043666,3847,44.68094488485623,908.5219329530701
487,Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826095,Saharanpur,3466382,1834106,1632276,2077108,9699,59.92149739988264,889.9572870924582
488,Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,Sant Kabir Nagar,1715183,869656,845527,954949,2031,55.67621647369406,972.2545466253323
489,Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675,Shahjahanpur,3006538,1606403,1400135,1490930,3889,49.589594410581206,871.5963553354918
490,Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547,Sitapur,4483992,2375264,2108728,2283733,3874,50.93080005495103,887.7867891737508
